pid,isbn,large,small
11100821124,9789570530940,True,True
11100821125,9789570530872,True,True
11100820000,11100820000,True,True
11100820001,11100820001,True,True
11100820002,11100820002,True,True
11100820003,11100820003,True,True
11100820004,11100820004,True,True
11100820005,9789863564508,True,True
11100820006,9789863564515,True,True
11100820000,11100820000,True,True
11100820001,11100820001,True,True
11100820002,11100820002,True,True
11100820003,11100820003,True,True
11100820004,11100820004,True,True
11100820005,9789863564508,True,True
11100820006,9789863564515,True,True
11100820007,9789869120944,True,True
11100820008,9789869484923,True,True
11100820009,9789869484947,True,True
11100820010,11100820010,True,True
11100820011,9789620757167,True,True
11100820012,9789620756665,True,True
11100820013,9789620765889,True,True
11100820014,9789620757044,True,True
11100820015,9789620765612,True,True
11100820016,9789888463473,True,True
11100820017,9789888463589,True,True
11100820018,9789888463596,True,True
11100820019,9789888463404,True,True
11100820020,9789888463237,True,True
11100820021,9789888463244,True,True
11100820022,9789888463251,True,True
11100820023,9789888463534,True,True
11100820024,9789888463800,True,True
11100820025,9789888463817,True,True
11100820026,9789888463787,True,True
11100820027,9789888463381,True,True
11100820028,9789888463718,True,True
11100820029,9789620757143,True,True
11100820030,9789620757136,True,True
11100820031,9789620757112,True,True
11100820032,9789620757129,True,True
11100820033,9789620765834,True,True
11100820034,9789620757228,True,True
11100820035,9789620757204,True,True
11100820036,9789624591040,True,True
11100820037,9789620705045,True,True
11100820038,9789882370050,True,True
11100820039,9789882370180,True,True
11100820040,9789881902443,True,True
11100820041,9789866301995,True,True
11100820042,9573304473,True,True
11100820043,9789869509008,True,True
11100820044,9789863585244,True,True
11100820045,9789869246019,True,True
11100820046,9789863584971,True,True
11100820047,11100820047,True,True
11100820048,9789868748835,True,True
11100820049,9789868748811,True,True
11100820050,9789862743423,True,True
11100820051,9789862390900,True,True
11100820052,9789864792351,True,True
11100820053,9789864764716,True,True
11100820054,11100820054,True,True
11100820055,9789863733676,True,True
11100820056,9789863733782,True,True
11100820057,11100820057,True,True
11100820058,9789869465472,True,True
11100820059,11100820059,True,True
11100820060,11100820060,True,True
11100820061,11100820061,True,True
11100820062,11100820062,True,True
11100820063,11100820063,True,True
11100820064,11100820064,True,True
11100820065,9789869498005,True,True
11100820066,9789864723065,True,True
11100820067,11100820067,True,True
11100820068,9789864720774,True,True
11100820069,11100820069,True,True
11100820070,9789865668839,True,True
11100820071,9789861915579,True,True
11100820072,9789869447904,True,True
11100820073,9789864863211,True,True
11100820074,9789864826841,True,True
11100820075,9789864311798,True,True
11100820076,9789864623396,True,True
11100820077,9789864317516,True,True
11100820078,9789864860517,True,True
11100820079,9789864860623,True,True
11100820080,9789864627004,True,True
11100820081,9789864824496,True,True
11100820082,9789864827824,True,True
11100820083,9789864824755,True,True
11100820084,11100820084,True,True
11100820085,11100820085,True,True
11100820086,9789864826674,True,True
11100820087,9789864826759,True,True
11100820088,9789864862276,True,True
11100820089,9789864864690,True,True
11100820090,9789864864775,True,True
11100820091,9789864864553,True,True
11100820092,9789864862252,True,True
11100820093,9789864864836,True,True
11100820094,9789862893470,True,True
11100820095,9789864082940,True,True
11100820096,9789576630217,True,True
11100820097,9789863614289,True,True
11100820098,9789868541863,True,True
11100820099,9789864082957,True,True
11100820100,9789863614296,True,True
11100820101,9789864082964,True,True
11100820102,9789865613501,True,True
11100820103,9789865668877,True,True
11100820104,9789863614326,True,True
11100820105,9789863614333,True,True
11100820106,9789865752606,True,True
11100820107,9789869508209,True,True
11100820108,9789869499712,True,True
11100820109,11100820109,True,True
11100820110,11100820110,True,True
11100820111,11100820111,True,True
11100820112,11100820112,True,True
11100820113,9789577626141,True,True
11100820114,9789861615660,True,True
11100820115,11100820115,True,True
11100820116,9789861615585,True,True
11100820117,9789863023753,True,True
11100820118,9789869006620,True,True
11100820119,9789869510806,True,True
11100820120,11100820120,True,True
11100820121,11100820121,True,True
11100820122,11100820122,True,True
11100820123,11100820123,True,True
11100820124,11100820124,True,True
11100820125,11100820125,True,True
11100820126,11100820126,True,True
11100820127,11100820127,True,True
11100820128,11100820128,True,True
11100820129,11100820129,True,True
